"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","引体向上","总分"
"64",175.6,60.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.6
"65",173.3,77.1,"超重","肺活量良好","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.4
"66",178.3,62.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",69.7
"67",167.5,55.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.8
"68",178.4,65.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",68
"69",160.5,64.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.2
"70",169.5,65.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",77.1
"71",175.3,65,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上优秀",92.2
"72",172.2,55.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.6
"73",175.6,71.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",65.1
"74",168.7,48.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",54.7
"75",169.1,81.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",61.3
"76",168.1,56.5,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",78.3
"77",162.5,70.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.4
"78",166.9,63.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.7
"79",172.1,86.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",58.9
"80",162.2,48.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70
"81",169.1,85.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",58
"82",174,62.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.3
"83",172.2,63,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",72.2
"84",157.8,56.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",67.4
"85",166.6,63,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.8
"86",174,64.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米优秀","引体向上及格",79.9
"87",189,66.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",61.9
"88",169.5,93.1,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",57.3
"89",172.2,62.5,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈优秀","1000米良好","引体向上良好",83.6
"90",178.6,59.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",71.4
"91",178.2,65.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",69.7
"92",160.5,51.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.1
"93",176,100.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",58.2
"94",178.3,72,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",60.7
"95",178.2,61.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.6
"96",168,69,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",69.5
"97",171.6,61.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.8
"98",185,75.3,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",74.5
"99",176.4,96.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米良好","引体向上不及格",63.1
"100",170,61.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",66.4
"101",178.6,61.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",63.6
"102",172,73,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",70.7
"103",176.7,84.4,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"104",175,65,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",66.3
"105",176.4,69.4,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈优秀","1000米良好","引体向上不及格",75.7
"106",173,52.5,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",61.4
"107",164.8,62,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",72.7
"108",172,71.2,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",68.3
"109",173.5,55.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",62.8
"110",170.9,98.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",62.6
"111",184.1,72.4,"正常","肺活量良好","50米优秀","立定跳远优秀","坐位体前屈优秀","1000米及格","引体向上及格",85.6
"112",177,99.8,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",59.1
"113",170.3,67,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",71.6
"114",174,94,"肥胖","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.1
"115",174.6,61.1,"正常","肺活量优秀","50米良好","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",77.3
"116",167,65.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62.3
"117",171.2,67.6,"正常","肺活量不及格","50米不及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",54.3
"118",174,85,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.6
"119",160,58.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",62.9
"120",170,56.9,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",68.4
"121",174,71.6,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",76.8
"122",172,62.5,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",55.8
"123",167,78.4,"肥胖","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",51.3
"124",170,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",73.8
"125",172.8,64.7,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米良好","引体向上不及格",82.3
"126",171.6,74.9,"超重","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",70.1
"127",175,65,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69
"128",171.2,75.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.3
"129",176.2,57,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.9
"130",178,59,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",78.3
"131",166.6,50.4,"正常","肺活量不及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",80.1
"132",171.4,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68
"133",164.4,61.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",71.2
"134",169,58,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",73.7
"135",174,59.2,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈优秀","1000米良好","引体向上不及格",79.3
"136",167.2,68.4,"超重","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"137",163.8,53.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",66.9
"138",173.4,60.8,"正常","肺活量不及格","50米及格","立定跳远优秀","坐位体前屈及格","1000米及格","引体向上不及格",66.7
"139",177.2,66.8,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.7
"140",172,81.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.6
"141",170.3,84.3,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",62.8
"142",167,83,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",60
"143",172.5,67.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.7
"144",165,56.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",69.4
"145",176,62.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",55.7
"146",169.4,68.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",72.5
"147",174,57.3,"正常","肺活量及格","50米不及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",61.1
"148",167.1,60.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",75.7
"149",168,75.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.5
"150",175.6,63.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",61.4
"151",170.9,58.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.5
"152",175,54,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米不及格","引体向上优秀",67.1
"153",168.7,54.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",53.6
"154",172.4,71.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",55
"155",160.1,48.6,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.5
"156",176.5,62.1,"正常","肺活量不及格","50米不及格","立定跳远优秀","坐位体前屈良好","1000米不及格","引体向上不及格",49
"157",177.2,62.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.7
"158",168.7,53.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.4
"159",173.7,67.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.2
"160",165.9,56.8,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",47.1
"161",162.2,68.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.3
"162",189.9,103.1,"肥胖","肺活量优秀","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",55.5
"163",158.8,52.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",66.2
"164",170.3,59.1,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",68.7
"165",161.6,59.7,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.7
"166",168.7,56.7,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈优秀","1000米良好","引体向上不及格",82.2
"167",175.3,78.4,"超重","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈良好","1000米不及格","引体向上不及格",45.1
"168",171.2,71.1,"超重","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",64.2
"169",157.8,78.1,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",54.4
"170",170.9,49.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",54.8
"171",175.3,57.7,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.9
"172",173.9,68.8,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上及格",70.1
"173",173.7,70.5,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",74.4
"174",164.7,59.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上及格",68.3
"175",158.1,55.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","1000米及格","引体向上不及格",64.4
"176",175.2,75.1,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",50.6
"177",177.2,59.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.1
"178",183.1,115.3,"肥胖","肺活量及格","50米良好","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",58.7
"179",170.6,60.9,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.7
"180",174,77.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",68.1
"181",170.9,56.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63
"182",175,73.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",65.7
"183",166.9,56.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.3
"184",171.3,51.7,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",71
"185",170.3,54.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.8
"186",168.6,70.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.8
"187",180.3,75.5,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",71.2
"188",169.5,79.7,"超重","肺活量优秀","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",69.8
"189",170.9,94.1,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",52
"190",173.7,126,"肥胖","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",41.4
"191",178.1,84.8,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",64.3
"192",170.9,62.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",74.6
"193",155,55.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",67.9
"194",158.8,51.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",62.8
"195",178.4,104.1,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",58.2
"196",164.4,57.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",63.4
"197",163.8,53,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",64.1
"198",170.4,66.2,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",79.2
"199",167.1,64.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.8
"200",173.7,73.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",66.8
"201",178.4,64.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米良好","引体向上不及格",73.7
"202",169.7,49.9,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",72
"203",187.3,62.9,"正常","肺活量及格","50米不及格","立定跳远优秀","坐位体前屈及格","1000米及格","引体向上不及格",64.5
"204",180.2,56.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.4
"205",174.7,54.2,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",60.8
"206",177.8,63.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.7
"207",162.2,54,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.6
"208",165.3,72.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63
"209",166.1,59.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.8
"210",164.4,54.5,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",79.2
"211",172.5,82.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.1
"212",171.9,87.2,"肥胖","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",46.1
"213",170.9,61.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",77.1
"214",172.7,69.8,"正常","肺活量不及格","50米不及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",51.6
"215",176.8,56.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.8
"216",164.1,50.5,"正常","肺活量不及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",73.8
"217",170.9,92.9,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",57.2
"218",168.7,91.3,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",51.4
"219",172.5,77.3,"超重","肺活量良好","50米优秀","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",73.2
