"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","一分钟仰卧起坐","总分"
"34",157.2,51.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74
"35",146.9,49.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.1
"36",159.4,50.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",63
"37",148.5,48.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73
"38",156.3,47.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.8
"39",165,55.2,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",60.6
"40",154.4,40,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米优秀","仰卧起坐及格",77.5
"41",156.3,46,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.6
"42",169.3,63.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.2
"43",168.1,49.7,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",70.9
"44",149.7,49.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",70.6
"45",157.2,46.1,"正常","肺活量不及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",42
"46",154.1,43.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",80.4
"47",155.3,60.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71
"48",145,45.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.4
"49",154.4,51.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.4
"50",164.4,49.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.1
"51",171.2,56,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",63.4
"52",160.3,53.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.8
"53",165,66.7,"超重","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",58.8
"54",160.8,51.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米优秀","仰卧起坐及格",83.2
"55",163.6,52.7,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.9
"56",159,70.8,"肥胖","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",55.4
"57",159.7,42,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.5
"58",160,50.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.6
"59",160.8,54.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",78.2
"60",159,56,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.8
"61",159,50,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈不及格","800米良好","仰卧起坐及格",80.5
"62",165,53,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐良好",71
"63",151.7,55.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.1
"64",166.2,61,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",64.2
"65",157.5,73,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",72.3
"66",160.6,46.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",74.3
"67",165.9,71.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.1
"68",156.1,57.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",78.5
"69",156.3,47.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.7
"70",164.7,52,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.3
"71",156.1,52.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",77.8
"72",165.9,77.6,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.1
"73",166,52.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.7
"74",166.5,48.3,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",65
"75",148.5,44.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.8
"76",159.7,50.2,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.3
"77",156.1,50.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.2
"78",164,64.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.3
"79",154.3,47.9,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",69.9
"80",163,56.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",79.6
"81",154.3,51.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.7
"82",162.5,47.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.5
"83",147.2,47,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",77.2
"84",153.8,68,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",69.9
"85",165,65.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.5
"86",167.8,66.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74.8
"87",160.5,72.1,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",60.6
"88",164,53.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",78.8
"89",160.3,58.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",66.4
"90",149.7,49.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.9
"91",164.2,46.4,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.8
"92",157.8,49.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.5
"93",156,62.3,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",72.5
"94",150.3,58,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.3
"95",165.5,53.4,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71
"96",152.8,50.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.8
"97",148.5,72.6,"肥胖","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈良好","800米及格","仰卧起坐及格",55.1
"98",160.3,64.6,"超重","肺活量不及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",50.1
"99",150,46.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.8
"100",153.1,57,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.5
"101",163.4,47.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.5
"102",151.7,55.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.7
"103",157.8,63.3,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.4
"104",156.1,50.1,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"105",160.8,53.2,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.8
"106",160.5,52.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.3
"107",161.3,53.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",78
"108",155,59.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",61.2
"109",161.6,51.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.7
"110",155.3,48.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.9
"111",165,61.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",74.9
"112",154.4,59.6,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.1
"113",159.1,52,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",74.8
"114",162.2,58.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",68.6
"115",165,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.8
"116",165.3,71.3,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",74.7
"117",154.4,46.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.3
"118",159.1,65.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",66.4
"119",159.7,49.9,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.6
"120",157.5,52,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",74.2
"121",163.4,53.8,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.8
"122",159.1,58.5,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",48.8
"123",158.1,50.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",63.6
"124",163.4,51.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.9
"125",155.6,55.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",74.6
"126",157.5,51.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.1
"127",159.1,57.3,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.2
"128",156,60.7,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",76.4
"129",157.5,54.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",73.3
"130",162.2,52.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.2
"131",160.3,50.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"132",155.6,50.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.5
"133",168.1,53.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.3
"134",148.5,58.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.7
"135",154,54.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.5
"136",159.1,48.7,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.5
"137",169.7,55.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米优秀","仰卧起坐及格",79.1
"138",155.6,57.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.3
"139",155.6,47.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",79.1
"140",154.1,59,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",78
"141",171.1,61.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.9
"142",160.6,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.4
"143",153.4,53.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.2
"144",160,50.6,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",76.3
"145",143.2,65.3,"肥胖","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",51.1
"146",163.4,47.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",78
"147",159.7,58.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.2
"148",152.8,69.6,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",63.6
"149",154.1,50.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.3
"150",157.5,69.8,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",66.5
"151",155.5,53.5,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.7
"152",166.6,53.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.3
"153",163.4,49.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",75.4
"154",163.8,61.6,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐良好",67.9
"155",160,45.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",65.3
"156",158.1,44.1,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米良好","仰卧起坐及格",77.6
"157",156.4,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.3
"158",156.3,66.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.3
"159",151.7,47.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",75.3
"160",156.1,64.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74
"161",160.9,80.3,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",66.4
"162",160.9,53.3,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",79.3
"163",156.4,65.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.6
"164",160,53.5,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",77.5
"165",154.1,50.3,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米良好","仰卧起坐及格",79.5
"166",165.2,56.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",73
"167",149.1,50.6,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.8
"168",163.8,74.5,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐及格",69
"169",158.5,53.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",75.9
"170",173.1,62,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米不及格","仰卧起坐及格",71.2
"171",150,49.5,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.1
"172",164.4,69.1,"超重","肺活量良好","50米优秀","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",81.9
"173",162.8,53.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",77.1
"174",151.6,40.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.4
"175",151.3,77.6,"肥胖","肺活量良好","50米优秀","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐及格",71.5
"176",151,46,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐不及格",70.3
"177",155,53.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.8
"178",154.7,62.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",64.7
"179",151,66,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.6
"180",164.7,60.3,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",75.9
"181",157.8,44.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐良好",76.7
"182",162.2,63.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.2
"183",163.8,64.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",73.7
"184",157.3,51.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.7
"185",160,56,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐良好",78
"186",159,45.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.9
"187",162.5,58.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.3
"188",150.7,36,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.1
"189",160.6,55.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",79.2
"190",162,61.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.4
"191",161.6,55.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",73.7
"192",160,61.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",66.8
"193",164.7,54.6,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐不及格",73.2
"194",163.4,53.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",77.8
"195",161,58,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐优秀",81.1
"196",162,54.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.1
"197",160,49.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.5
"198",145,44,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",71.8
"199",159.4,49.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.1
"200",162.1,60.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",77.3
"201",160,66.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.7
"202",164.7,63.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74.9
"203",161.9,56.6,"正常","肺活量良好","50米及格","立定跳远优秀","坐位体前屈良好","800米及格","仰卧起坐及格",82.5
"204",153.7,58,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",71.1
"205",155.6,61.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",72.9
"206",155.2,48.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.8
"207",155.2,54.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",66.5
"208",158.1,81,"肥胖","肺活量良好","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",63
"209",159.7,54,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",73.2
"210",160.8,59.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.7
"211",156.4,50,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.4
"212",168.4,74.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.6
"213",162.5,55.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.1
"214",154.7,48.8,"正常","肺活量及格","50米不及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐良好",72.2
"215",154.4,47,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐不及格",73.1
"216",160.9,62.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"217",159.7,52.1,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",57.1
